Semester,Academic Year,Concert #,Performer,Date,Performer Type,Detailed Performance,Performance Type,Instrument,Index,Composer,Ugly,Composer Category,Composer Status,Arranger,Piece
Fall 2023,23-24 Academic Year,37,Glass,11/29/23,Student,Pacific Horn Ensemble and Studio Recita,Recital,Horn,37.2,Mary D. Watkins,"Watkins, Mary D.",4,1,,Old St. John
Fall 2023,23-24 Academic Year,37,Glass,11/29/23,Student,Pacific Horn Ensemble and Studio Recita,Recital,Horn,37.3,Robert Nathaniel Dett,"Dett, Robert Nathaniel",3,2,,Adagio cantabile from Cinnamon Grove Suite
Fall 2023,23-24 Academic Year,37,Glass,11/29/23,Student,Pacific Horn Ensemble and Studio Recita,Recital,Horn,37.4,Florence Price,"Price, Florence",4,2,,Sympathy (To Florence) My Daughter
Fall 2023,23-24 Academic Year,37,Glass,11/29/23,Student,Pacific Horn Ensemble and Studio Recita,Recital,Horn,37.5,Francis Johnson,"Johnson, Francis",3,2,,American Girl
Fall 2023,23-24 Academic Year,37,Glass,11/29/23,Student,Pacific Horn Ensemble and Studio Recita,Recital,Horn,37.6,David A. Eastmond,"Eastmond, David",3,1,,The First Solo Flight
Fall 2023,23-24 Academic Year,37,Glass,11/29/23,Student,Pacific Horn Ensemble and Studio Recita,Recital,Horn,37.7,African American Spiritual,Traditional - African American Spiritual,999,999,,Deep River
Fall 2023,23-24 Academic Year,37,Glass,11/29/23,Student,Pacific Horn Ensemble and Studio Recita,Recital,Horn,37.8,Stewart Goodyear,"Goodyear, Stewart",3,1,,Eulogy
Fall 2023,23-24 Academic Year,37,Glass,11/29/23,Student,Pacific Horn Ensemble and Studio Recita,Recital,Horn,37.9,Jeff Scott,"Scott, Jeff",3,1,,Pesadelos 1
Fall 2023,23-24 Academic Year,38,Wang,11/30/23,Faculty,Trio 180,Chamber,Chamber,38.1,Lera Auerbach,"Auerbach, Lera",2,1,,Piano Trio No. 1 (1992; 1994)
Fall 2023,23-24 Academic Year,38,Wang,11/30/23,Faculty,Trio 180,Chamber,Chamber,38.2,Eric Wood,"Wood, Eric",1,1,,Elgin Movements for Piano Trio 
Fall 2023,23-24 Academic Year,38,Wang,11/30/23,Faculty,Trio 180,Chamber,Chamber,38.3,Dmitri Shostakovich,"Shostakovich, Dmitri",1,2,,"Piano Trio No. 2 in E minor, op. 67 "
Fall 2023,23-24 Academic Year,39,Hogue,12/1/23,Student,Student Philanthropy Week Fundraiser,Recital,Violin,39.1,Georg Philipp Telemann,"Telemann, Georg Philipp",1,2,,Duets TWV 40:107 in B flat
Fall 2023,23-24 Academic Year,39,Leyva,12/1/23,Student,Student Philanthropy Week Fundraiser,Recital,Horn,39.2,Joshua Davis & Yuniet Lombida,Joshua Davis & Yuniet Lombida,999,999,,Rondo Alla Mambo
Fall 2023,23-24 Academic Year,39,Lue,12/1/23,Student,Student Philanthropy Week Fundraiser,Recital,Violin,39.3,Alice Shields,"Shields, Alice",2,1,,Aurora
Fall 2023,23-24 Academic Year,39,Denney,12/1/23,Student,Student Philanthropy Week Fundraiser,Recital,Natural Horn,39.4,Wolfgang Amadeus Mozart,"Mozart, Wolfgang Amadeus",1,2,,"Horn Concerto No. 1 in D Major, K. 412"
Fall 2023,23-24 Academic Year,39,Warren,12/1/23,Student,Student Philanthropy Week Fundraiser,Recital,Horn,39.5,Camille Saint-Saëns,"Saint-Saëns, Camille",1,2,,Morceau de Concert
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.1,Justin Hurwitz,"Hurwitz, Justin",1,1,,"City of Stars, from La La Land (2016; 2023)"
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.1,Ryan Cayabyab,"Cayabyab, Ryan",3,1,,Kumukutikutitap 
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.1,James Pierpont,"Pierpont, James",1,2,,Jingle Bells 
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.1,"Mia Makaroff, Anna-Mari Kähärä","Anna-Mari, Mia Makaroff,",2,1,,Butterfly 
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.1,Philip Springer,"Springer, Philip",1,2,,Santa Baby (1953; 2019)
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.1,"Robert Wells, Mel Tormé","Tormé, Mel/Wells, Robert",,,,The Christmas Song 
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.2,"Audra Mae, Scott Hoying, Mitch Grassi for Pentatonix","Scott, Audra Mae,",999,999,,Light in the Hallway (2015; 2017)
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.2,Lanny Wolfe,"Wolfe, Lanny",1,1,,Rejoice with Exceeding Great Joy 
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.2,Joni Mitchell,"Mitchell, Joni",2,1,,River 
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.2,Leigh Harline,"Harline, Leigh",1,2,,When You Wish upon a Star 
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.2,various composers,"Jennings, Joseph",3,1,Joseph Jennings,Christmas Spiritual Medley 
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.2,George Frideric Handel,"Handel, George Frideric",1,2,,Eternal Source of Light Divine (c. 1713; 2023)
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.2,"Glenn McClure, Wes Kennison","McClure, Glenn",1,1,,One Sweet Little Baby 
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.2,Franz Gruber,"Gruber, Franz",1,2,,Silent Night (1818; 2010)
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.3,George Frideric Handel,"Handel, George Frideric",1,2,,"Let Their Celestial Concerts All Unite, from Samson (1741–42; 2023)"
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.4,India.Arie Simpson,"Simpson, India.Arie",4,1,,I Am Light (2013; 2021)
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.5,Ēriks Ešenvalds,"Ešenvalds, Ēriks",1,1,,Stars 
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.6,Craig Courtney,"Courtney, Craig",1,1,,Ancient Nova 
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.7,Claude-Michel Schönberg,"Schönberg, Claude-Michel",1,1,,"Stars, from Les Misérables "
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.8,Kate Rusby,"Rusby, Kate",2,1,,Underneath the Stars 
Fall 2023,23-24 Academic Year,40,Seth,12/1/23,Student,Holiday Choral Concert,Ensemble,Choir,40.9,Felix Mendelssohn,"Mendelssohn, Felix",1,2,,"There Shall a Star, from Christus, op. 97 "
Fall 2023,23-24 Academic Year,41,,12/3/23,Student,Isabelle Knittle,Recital,Violin,41.1,Amy Beach,"Beach, Amy",2,2,,"Violin Sonata in A Minor, Op. 34"
Fall 2023,23-24 Academic Year,41,,12/3/23,Student,Isabelle Knittle,Recital,Violin,41.2,Henryk Wieniawski,"Wieniawski, Henryk",1,2,,Violin Concerto No. 2 in D minor Op. 22 
Fall 2023,23-24 Academic Year,41,,12/3/23,Student,Isabelle Knittle,Recital,Violin,41.3,Traditional,"Guzman, Jesus ""Chuy""",3,1,"Jesus ""Chuy"" Guzman",El Gustito
Fall 2023,23-24 Academic Year,41,,12/3/23,Student,Isabelle Knittle,Recital,Violin,41.4,Alirio Díaz,"Díaz, Alirio",3,2,,El Diablo Suelto
Fall 2023,23-24 Academic Year,41,,12/3/23,Student,Isabelle Knittle,Recital,Violin,41.5,Jerónimo Giménez y Bellido,"Giménez, Gerónimo",1,2,,La Boda De Luis Alonso 
Fall 2023,23-24 Academic Year,42,Norman,12/3/23,Student,Mallory Norman,Recital,Percussion,42.1,Keiko Abe,"Abe, Keiko",4,1,,Frogs 
Fall 2023,23-24 Academic Year,42,Norman,12/3/23,Student,Mallory Norman,Recital,Percussion,42.2,William L. Cahn,"Cahn, William L.",1,1,,Raga No. 1 
Fall 2023,23-24 Academic Year,42,Norman,12/3/23,Student,Mallory Norman,Recital,Percussion,42.3,J.S. Bach,"Bach, Johann Sebastian",1,2,,"Violin Concerto in A Minor, Mvm. 1 "
Fall 2023,23-24 Academic Year,42,Norman,12/3/23,Student,Mallory Norman,Recital,Percussion,42.4,Eckhard Kopetzki,"Kopetzki, Eckhard",1,1,,Concert Suite for Snare Drum 
Fall 2023,23-24 Academic Year,42,Norman,12/3/23,Student,Mallory Norman,Recital,Percussion,42.5,Rina Yoshioka,"Yoshioka, Rina",4,1,,Synchronized 
Fall 2023,23-24 Academic Year,42,Norman,12/3/23,Student,Mallory Norman,Recital,Percussion,42.6,Li Tao,"Tao, Li",4,1,,Chou Xi 
Fall 2023,23-24 Academic Year,43,,12/3/23,Student,Olivia Gideon,Recital,Horn,43.1,Wolfgang Amadè Mozart,"Mozart, Wolfgang Amadeus",1,2,,"Horn Concerto No. 3 in E-flat major, K. 447 "
Fall 2023,23-24 Academic Year,43,,12/3/23,Student,Olivia Gideon,Recital,Horn,43.1,Eileen Clews,"Clews, Eileen",2,2,,Partita 
Fall 2023,23-24 Academic Year,43,,12/3/23,Student,Olivia Gideon,Recital,Horn,43.2,Francis Johnson,"Johnson, Francis",3,2,,The American Girl 
Fall 2023,23-24 Academic Year,43,,12/3/23,Student,Olivia Gideon,Recital,Horn,43.2,Robert Nathaniel Dett,"Dett, Robert Nathaniel",3,2,,Ave Maria 
Fall 2023,23-24 Academic Year,43,,12/3/23,Student,Olivia Gideon,Recital,Horn,43.3,Megan Vinther,"Vinther, Megan",2,1,,Rising Hope: A Prayer for Ellen 
Fall 2023,23-24 Academic Year,43,,12/3/23,Student,Olivia Gideon,Recital,Horn,43.3,Sofia Gubaidulina,"Gubaidulina, Sofia",2,1,,Two Pieces 
Fall 2023,23-24 Academic Year,44,Bruckmann,12/4/23,Student,Varied Ensembles III,Chamber,Chamber,44.1,Alyssa Morris,"Morris, Alyssa",2,1,,Brushstrokes 
Fall 2023,23-24 Academic Year,44,Bruckmann,12/4/23,Student,Varied Ensembles III,Chamber,Chamber,44.2,Alice Shields,"Shields, Alice",2,1,,Aurora 
Fall 2023,23-24 Academic Year,44,Bruckmann,12/4/23,Student,Varied Ensembles III,Chamber,Chamber,44.3,Eric Ewazen,"Ewazen, Eric",1,1,,"Ballade, Pastorale and Dance  "
Fall 2023,23-24 Academic Year,44,Bruckmann,12/4/23,Student,Varied Ensembles III,Chamber,Chamber,44.4,Bela Bartok,"Bartok, Bela",,,,Trios (arr. Endre Szervanszky)
Fall 2023,23-24 Academic Year,45,Conklin,12/5/23,Student,Pacific Composers: Fall Premieres,Ensemble,Composition,45.1,Miranda Duarte (’26),"Duarte, Miranda",,,,Writer’s Block Trio
Fall 2023,23-24 Academic Year,45,Conklin,12/5/23,Student,Pacific Composers: Fall Premieres,Ensemble,Composition,45.1,Alayna Ontai (’26),"Ontai, Alayna",,,,Aeris
Fall 2023,23-24 Academic Year,45,Conklin,12/5/23,Student,Pacific Composers: Fall Premieres,Ensemble,Composition,45.1,Ian Orejana (’26),"Orejana, Ian",,,,give me time and i'll write something out
Fall 2023,23-24 Academic Year,45,Conklin,12/5/23,Student,Pacific Composers: Fall Premieres,Ensemble,Composition,45.1,Jordan Wier (‘25),"Wier, Jordan",,,,Adventure in Alondra
Fall 2023,23-24 Academic Year,45,Conklin,12/5/23,Student,Pacific Composers: Fall Premieres,Ensemble,Composition,45.2,Skylar Warren (’25),"Warren, Skylar",,,,A Missing Piece
Fall 2023,23-24 Academic Year,45,Conklin,12/5/23,Student,Pacific Composers: Fall Premieres,Ensemble,Composition,45.3,Kamron Qasimi (‘27),"Qasimi, Kamron",,,,Trek into the Wild
Fall 2023,23-24 Academic Year,45,Conklin,12/5/23,Student,Pacific Composers: Fall Premieres,Ensemble,Composition,45.4,Logan Adams (‘24),"Adams, Logan",,,,Moode
Fall 2023,23-24 Academic Year,45,Conklin,12/5/23,Student,Pacific Composers: Fall Premieres,Ensemble,Composition,45.5,Marcus Rudes (’27),"Rudes, Marcus",,,,"Trio for Flute, Oboe and Bassoon"
Fall 2023,23-24 Academic Year,45,Conklin,12/5/23,Student,Pacific Composers: Fall Premieres,Ensemble,Composition,45.6,Bailey LaBrie (’25),"LaBrie, Bailey",,,,Requiem for the Restless
Fall 2023,23-24 Academic Year,45,Conklin,12/5/23,Student,Pacific Composers: Fall Premieres,Ensemble,Composition,45.7,Don Parker (’26),"Parker, Don",,,,Pathways
Fall 2023,23-24 Academic Year,45,Conklin,12/5/23,Student,Pacific Composers: Fall Premieres,Ensemble,Composition,45.8,Skylar Warren (’25),"Warren, Skylar",,,,Amethyst
Fall 2023,23-24 Academic Year,45,Conklin,12/5/23,Student,Pacific Composers: Fall Premieres,Ensemble,Composition,45.9,Lilac Robertson (’24),"Robertson, Lilac",,,,Beautiful Voice
Fall 2023,23-24 Academic Year,46,,12/6/23,Student,Sam Perrego,Recital,"Voice, Soprano",46.1,Francesco Bartolomeo Conti,"Conti, Francesco Bartolomeo",1,2,,Il mio bel foco
Fall 2023,23-24 Academic Year,46,,12/6/23,Student,Sam Perrego,Recital,"Voice, Soprano",46.2,Wolfgang Amadeus Mozart,"Mozart, Wolfgang Amadeus",1,2,,"‘Vedrai, carino’ from Don Giovanni "
Fall 2023,23-24 Academic Year,46,,12/6/23,Student,Sam Perrego,Recital,"Voice, Soprano",46.3,Stefano Donaudy,"Donaudy, Stefano",1,2,,"‘Ah, mai non cessate’ from Arie di Stile Antico, Vol. I "
Fall 2023,23-24 Academic Year,46,,12/6/23,Student,Sam Perrego,Recital,"Voice, Soprano",46.4,Fanny Mendelssohn Hensel,"Hensel, Fanny Mendelssohn",2,2,,"‘Nachtwanderer’ from Lieder Op. 7, No. 1 "
Fall 2023,23-24 Academic Year,46,,12/6/23,Student,Sam Perrego,Recital,"Voice, Soprano",46.5,Florence Price,"Price, Florence",4,2,,‘An April Day’ 
Fall 2023,23-24 Academic Year,46,,12/6/23,Student,Sam Perrego,Recital,"Voice, Soprano",46.6,George Gershwin Ira Gershwin,"Gershwin, George / Gershwin, Ira",1,2,,‘(I’ve Got) Beginner’s Luck’ 
Fall 2023,23-24 Academic Year,46,,12/6/23,Student,Sam Perrego,Recital,"Voice, Soprano",46.7,Henry Purcell,"Purcell, Henry",1,2,,"‘I see, she flies me’ "
Fall 2023,23-24 Academic Year,46,,12/6/23,Student,Sam Perrego,Recital,"Voice, Soprano",46.8,Anaïs Mitchell ,"Mitchell, Anaïs",2,1,,Flowers from Hadestown
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.1,Wes Montgomery,"Montgomery, Wes",3,2,,Full House 
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.1,John Lewis,"Lewis, John",3,2,,Afternoon In Paris 
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.1,Turner Layton,"Layton, Turner",3,2,,After You’ve Gone 
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.1,Kurt Weill,"Weill, Kurt",1,2,,Saga of Jenny 
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.1,Antonio Carlos Jobim,"Jobim, Antonio Carlos",,,,Triste 
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.1,Milt Jackson,"Jackson, Milt",3,2,,Bag’s Groove 
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.2,Clifford Brown,"Brown, Clliford",3,2,,Joy Spring 
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.3,Ben Webster,"Webster, Ben",3,2,,Did You Call Her Today? 
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.4,Freddie Hubbard,"Hubbard, Freddie",3,2,,Open Sesame 
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.5,Oscar Pettiford,"Pettiford, Oscar",3,2,,Tricotism 
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.6,Tony Crombie,"Crombie, Tony",1,1,,"So Near, So Far "
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.7,Robert Wells & Mel Tormé,"Tormé, Mel/Wells, Robert",,,,The Christmas Song 
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.8,John Coltrane,"Coltrane, John",3,2,,Moment’s Notice 
Fall 2023,23-24 Academic Year,47,Mazzaferro,12/7/23,Faculty,Pacific Jazz Combos,Chamber,Jazz,47.9,Joe Henderson,"Henderson, Joe",3,2,,Recorda me 
Fall 2023,23-24 Academic Year,48,Kuster,12/8/23,Student,Conservatory Concert Hour,Recital,Piano,48.1,Toru Takemitsu,"Takemitsu, Toru",3,2,,Rain Tree Sketch II 
Fall 2023,23-24 Academic Year,48,Kuster,12/8/23,Student,Conservatory Concert Hour,Recital,Oboe,48.2,Gilles Silvestrini,"Silvestrini, Gilles",1,1,,Six études 
Fall 2023,23-24 Academic Year,48,Kuster,12/8/23,Student,Conservatory Concert Hour,Recital,Trumpet,48.3,George Enescu,"Enescu, George",1,2,,Légende 
Fall 2024,24-25 Academic Year,1,Biliana Voutchkova,9/11/24,Kyle Bruckmann,Guest Artist Recital,Recital,Violin/Voice,1.1,improvisations,unknown,999,999,,Trois beaux oiseaux du Paradis (1916)
Fall 2024,24-25 Academic Year,2,USAF Band of the Golden West Chamber Players,9/14/24,Ricardo Martinez,Chamber,Chamber,,2.1,Maurice Ravel,"Ravel, Maurice",1,2,,Refraction (2015)
Fall 2024,24-25 Academic Year,2,USAF Band of the Golden West Chamber Players,9/14/24,Ricardo Martinez,Chamber,Chamber,,2.2,David Biedenbender,"Biedenbender, David",1,1,,"Brass Sextet in Eb Minor, op. 30 (1911)"
Fall 2024,24-25 Academic Year,2,USAF Band of the Golden West Chamber Players,9/14/24,Ricardo Martinez,Chamber,Chamber,,2.3,Oskar Böhme,"Böhme, Oskar",1,2,,"Variations on a Theme by Haydn,"
Fall 2024,24-25 Academic Year,2,USAF Band of the Golden West Chamber Players,9/14/24,Ricardo Martinez,Chamber,Chamber,,2.4,Johannes Brahms,"Brahms, Johannes",1,2,,Still (2019)
Fall 2024,24-25 Academic Year,3,University Symphony Orchestra,9/14/24,Jonathan Latta,Ensemble,Ensemble,,3.1,Lousie Farrenc,"Farrenc, Louise",2,2,,Pavane (1887)
Fall 2024,24-25 Academic Year,3,University Symphony Orchestra,9/14/24,Jonathan Latta,Ensemble,Ensemble,,3.2,Clarice Assad,"Assad, Clarice",4,1,,Me Renovare from Songs of Renewal (2017)
Fall 2024,24-25 Academic Year,3,University Symphony Orchestra,9/14/24,Jonathan Latta,Ensemble,Ensemble,,3.3,Claudia Montero,"Montero, Claudia",4,1,,Angels in the Architecture (2009)
Fall 2024,24-25 Academic Year,4,Chamber Ensembles,9/26/24,Kyle Bruckmann,Chamber,Chamber,,4.1,Catherine Likhuta,"Likhuta, Catherine",2,1,,"Pequeña Czarda (1949, 2005)"
Fall 2024,24-25 Academic Year,4,Chamber Ensembles,9/26/24,Kyle Bruckmann,Chamber,Chamber,,4.2,Catherine Likhuta,"Likhuta, Catherine",2,1,,"Bassoon Sonata in G, Op. 168 (1921)"
Fall 2024,24-25 Academic Year,4,Chamber Ensembles,9/26/24,Kyle Bruckmann,Chamber,Chamber,,4.3,Catherine Likhuta,"Likhuta, Catherine",2,1,,Feu De Paille (1986)
Fall 2024,24-25 Academic Year,4,Chamber Ensembles,9/26/24,Kyle Bruckmann,Chamber,Chamber,,4.4,Catherine Likhuta,"Likhuta, Catherine",2,1,,Refraction (2015)
Fall 2024,24-25 Academic Year,4,Chamber Ensembles,9/26/24,Kyle Bruckmann,Chamber,Chamber,,4.5,Catherine Likhuta,"Likhuta, Catherine",2,1,,Memorias (tríptico) (2004)
Fall 2024,24-25 Academic Year,4,Chamber Ensembles,9/26/24,Kyle Bruckmann,Chamber,Chamber,,4.6,Catherine Likhuta,"Likhuta, Catherine",2,1,,"Le Caraval de Venise (1860, 1986)"
Fall 2024,24-25 Academic Year,4,Chamber Ensembles,9/26/24,Kyle Bruckmann,Chamber,Chamber,,4.7,Catherine Likhuta,"Likhuta, Catherine",2,1,,"Serenade for Strings in C major, op. 48 (1880)"
Fall 2024,24-25 Academic Year,5,Pacific Choirs & Pacific Wind Bands,9/28/24,Jonathan Latta & Vu Nguyen,Ensemble,Ensemble,,5.1,Ola Gjeilo,"Gjeilo, Ola",1,1,,"Adagio from Symphony No. 2 in E minor, op. 27 (1907)"
Fall 2024,24-25 Academic Year,5,Pacific Choirs & Pacific Wind Bands,9/28/24,Jonathan Latta & Vu Nguyen,Ensemble,Ensemble,,5.1,Cait Nishimura,"Nishimura, Cait",4,1,,Jingle Bells
Fall 2024,24-25 Academic Year,5,Pacific Choirs & Pacific Wind Bands,9/28/24,Jonathan Latta & Vu Nguyen,Ensemble,Ensemble,,5.2,"Aurora Aksnes, Odd Martin Skaalnes, Magnus Skylstad","Skålnes, Odd Martin",1,1,,"Arioso and Presto, op. 108 (2000)"
Fall 2024,24-25 Academic Year,5,Pacific Choirs & Pacific Wind Bands,9/28/24,Jonathan Latta & Vu Nguyen,Ensemble,Ensemble,,5.3,Gabriel Fauré,"Fauré, Gabriel",1,2,,New Cinema Paradise Medley (1988)
Fall 2024,24-25 Academic Year,5,Pacific Choirs & Pacific Wind Bands,9/28/24,Jonathan Latta & Vu Nguyen,Ensemble,Ensemble,,5.4,Will Todd,"Todd, Will",1,1,,Carmen Fantasy (1900/1993)
Fall 2024,24-25 Academic Year,5,Pacific Choirs & Pacific Wind Bands,9/28/24,Jonathan Latta & Vu Nguyen,Ensemble,Ensemble,,5.5,Frank Ticheli,"Ticheli, Frank",1,1,,"Laboryinth (2023) for English horn, percussion and electronics"
Fall 2024,24-25 Academic Year,5,Pacific Choirs & Pacific Wind Bands,9/28/24,Jonathan Latta & Vu Nguyen,Ensemble,Ensemble,,5.6,Catherine Likhuta,"Likhuta, Catherine",2,1,,57th Street Mambo (1993)
Fall 2024,24-25 Academic Year,5,Pacific Choirs & Pacific Wind Bands,9/28/24,Jonathan Latta & Vu Nguyen,Ensemble,Ensemble,,5.7,Catherine Likhuta,"Likhuta, Catherine",2,1,,"Scherzo No. 4 in E major, op. 54 (1842)"
Fall 2024,24-25 Academic Year,5,Pacific Choirs & Pacific Wind Bands,9/28/24,Jonathan Latta & Vu Nguyen,Ensemble,Ensemble,,5.8,Tarik O'Regan,"O'Regan, Tarik",3,1,,Cello Suite No. 2
Fall 2024,24-25 Academic Year,5,Pacific Choirs & Pacific Wind Bands,9/28/24,Jonathan Latta & Vu Nguyen,Ensemble,Ensemble,,5.9,Hyo-Won Woo,"Woo, Hyo-Won",4,1,,Suite Cantado (2006)
Fall 2024,24-25 Academic Year,6,Tristan McMichael,9/29/24,Tristan McMichael,Student Recital,Recital,,6.1,Pedro Iturralde,"Iturralde, Pedro",1,1,,"Sonata No. 2 for Violin and Piano in A Major, Op. 100 (1886)"
Fall 2024,24-25 Academic Year,6,Tristan McMichael,9/29/24,Tristan McMichael,Student Recital,Recital,,6.2,Camille Saint-Saëns,"Saint-Saëns, Camille",1,2,,Sonata No. 2 for Violin and Piano (1927)
Fall 2024,24-25 Academic Year,6,Tristan McMichael,9/29/24,Tristan McMichael,Student Recital,Recital,,6.3,Pierre Max Dubois,"Dubois, Pierre Max",1,2,,Carignane for Bassoon and Piano (1953)
Fall 2024,24-25 Academic Year,6,Tristan McMichael,9/29/24,Tristan McMichael,Student Recital,Recital,,6.4,David Biedenbender,"Biedenbender, David",1,1,,Sonata for Bassoon and Piano (1998)
Fall 2024,24-25 Academic Year,6,Tristan McMichael,9/29/24,Tristan McMichael,Student Recital,Recital,,6.5,Pedro Iturralde,"Iturralde, Pedro",1,1,,Sea Songs (1924)
Fall 2024,24-25 Academic Year,6,Tristan McMichael,9/29/24,Tristan McMichael,Student Recital,Recital,,6.6,Jules Demersseman,"Demersseman, Jules",1,2,,Sleep (2000/2002)
Fall 2024,24-25 Academic Year,6,Tristan McMichael,9/29/24,Tristan McMichael,Student Recital,Recital,,6.7,Linda Kernohan,"Kernohan, Linda",2,1,,Shadow Rituals (2006)
Fall 2024,24-25 Academic Year,6,Tristan McMichael,9/29/24,Tristan McMichael,Student Recital,Recital,,6.8,Jorge Calleja,"Calleja, Jorge",3,1,,Dance of the Skeletons (1901)
Fall 2024,24-25 Academic Year,6,Tristan McMichael,9/29/24,Tristan McMichael,Student Recital,Recital,,6.9,Dolf de Kinkelder,"Kinkelder, Dolf de",1,1,,Graceful Ghost Rag (1970/2011)
Fall 2024,24-25 Academic Year,7,Pacific Strings,10/9/24,Ann Miller & Jonathan Latta,Ensemble,Ensemble,,7.1,Pyotr Il’yich Tchaikovsky,"Tchaikovsky, Peter Ilich",1,2,,City of Ghosts (2015/2019)
Fall 2024,24-25 Academic Year,7,Pacific Strings,10/9/24,Ann Miller & Jonathan Latta,Ensemble,Ensemble,,7.2,Caroline Shaw,"Shaw, Caroline",2,1,,Godzilla Eats Las Vegas! (1996)
Fall 2024,24-25 Academic Year,7,Pacific Strings,10/9/24,Ann Miller & Jonathan Latta,Ensemble,Ensemble,,7.3,Jessie Montgomery,"Montgomery, Jessie",4,1,,‘When I Have Sung My Songs’ (1934)
Fall 2024,24-25 Academic Year,8,"Otis Murphy, saxophone; Haruko Murphy, piano",10/13/24,Ricardo Martinez,Guest Artist Recital,Recital,,8.1,Sergei Rachmaninoff,"Rachmaninoff, Sergei",1,2,,"‘I Am What I Am,’ from La Cage aux Folles (1983),"
Fall 2024,24-25 Academic Year,8,"Otis Murphy, saxophone; Haruko Murphy, piano",10/13/24,Ricardo Martinez,Guest Artist Recital,Recital,,8.2,Sergei Rachmaninoff,"Rachmaninoff, Sergei",1,2,,‘Not a Day Goes By’ from Merrily We Roll Along (1981)
Fall 2024,24-25 Academic Year,8,"Otis Murphy, saxophone; Haruko Murphy, piano",10/13/24,Ricardo Martinez,Guest Artist Recital,Recital,,8.3,Ennio Morricone,"Morricone, Ennio",1,2,,‘Cancion de Cuna’ (Cradle Song) (1945)
